id,name,author,enrolls,description,image,link,overall_rating,catagory,platform,university,released_date,country,language,price,duration,certificate,material_type,added_by,num_of_reviews,num_of_ratings,image_mobile,total_ratings
981,[NEW] Ultimate AWS Certified Cloud Practitioner - 2022,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",194412,Full Practice Exam included + explanations | Learn Cloud Computing | Pass the AWS Cloud Practitioner CLF-C01 exam!,https://img-c.udemycdn.com/course/240x135/3142166_a637_2.jpg,https://www.udemy.com/course/aws-certified-cloud-practitioner-new/,5.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/3142166_a637_2.jpg,0
296,Excel to MySQL: Analytic Techniques for Business,Duke University,490k,"","",https://www.coursera.org/search?query=Excel to MySQL: Analytic Techniques for Business,4.6,Computer Science,Coursera,Duke University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
299,Executive Data Science,Johns Hopkins University,170k,"","",https://www.coursera.org/search?query=Executive Data Science,4.5,Computer Science,Coursera,Johns Hopkins University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
987,Introduction to Statistics,Guenther Walther,0,"Stanford's ""Introduction to Statistics"" teaches you statistical thinking concepts that are essential for learning from data and communicating insights. By the end of the course, you will be able to perform exploratory data analysis, understand key principles of sampling, and select appropriate tests of significance for multiple contexts. You will gain the foundational skills that prepare you to pursue more advanced topics in statistical thinking and machine learning.",,https://www.coursera.org/learn/stanford-statistics,4.0,Math,Coursera,"",2022-09-08,India,English,0,4,true,Videos,Neesham,0,0,,0
308,Finance for Non-Financial Managers,Emory University,12k,"","",https://www.coursera.org/search?query=Finance for Non-Financial Managers,4.4,Computer Science,Coursera,Emory University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
334,From Data to Insights with Google Cloud Platform,Google Cloud,26k,"","",https://www.coursera.org/search?query=From Data to Insights with Google Cloud Platform,4.6,Computer Science,Coursera,Google Cloud,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
354,Fundamentals of Visualization with Tableau,"University of California, Davis",81k,"","",https://www.coursera.org/search?query=Fundamentals of Visualization with Tableau,4.5,Computer Science,Coursera,"University of California, Davis",2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
365,Game Theory,Stanford University,260k,"","",https://www.coursera.org/search?query=Game Theory,4.6,Computer Science,Coursera,Stanford University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
368,Genomic Data Science,Johns Hopkins University,80k,"","",https://www.coursera.org/search?query=Genomic Data Science,4.4,Computer Science,Coursera,Johns Hopkins University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
370,Geopolitics of Europe,Sciences Po,19k,"","",https://www.coursera.org/search?query=Geopolitics of Europe,4.3,Computer Science,Coursera,Sciences Po,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
375,Getting Started with AWS Machine Learning,Amazon Web Services,73k,"","",https://www.coursera.org/search?query=Getting Started with AWS Machine Learning,4.5,Computer Science,Coursera,Amazon Web Services,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
376,Getting Started with Go,"University of California, Irvine",59k,"","",https://www.coursera.org/search?query=Getting Started with Go,4.6,Computer Science,Coursera,"University of California, Irvine",2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
378,Getting Started with Google Sheets,Google Cloud,18k,"","",https://www.coursera.org/search?query=Getting Started with Google Sheets,4.6,Computer Science,Coursera,Google Cloud,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
